index,country,fertility,life_expect,n_fertility,n_life_expect,p_fertility,p_life_expect,year
0,Data courtesy of Gapminder.org,Afghanistan,7.7,30.332,7.7,31.997,,,1955
1,,Afghanistan,7.7,31.997,7.7,34.02,7.7,30.332,1960
2,,Afghanistan,7.7,34.02,7.7,36.088,7.7,31.997,1965
3,,Afghanistan,7.7,36.088,7.7,38.438,7.7,34.02,1970
4,,Afghanistan,7.7,38.438,7.8,39.854,7.7,36.088,1975
5,,Afghanistan,7.8,39.854,7.9,40.822,7.7,38.438,1980
6,,Afghanistan,7.9,40.822,8.0,41.674,7.8,39.854,1985
7,,Afghanistan,8.0,41.674,8.0,41.763,7.9,40.822,1990
8,,Afghanistan,8.0,41.763,7.4792,42.129,8.0,41.674,1995
9,,Afghanistan,7.4792,42.129,,,8.0,41.763,2000
10,,Argentina,3.1265,64.399,3.0895,65.142,,,1955
11,,Argentina,3.0895,65.142,3.049,65.634,3.1265,64.399,1960
12,,Argentina,3.049,65.634,3.1455,67.065,3.0895,65.142,1965
13,,Argentina,3.1455,67.065,3.44,68.481,3.049,65.634,1970
14,,Argentina,3.44,68.481,3.15,69.942,3.1455,67.065,1975
15,,Argentina,3.15,69.942,3.053,70.774,3.44,68.481,1980
16,,Argentina,3.053,70.774,2.9,71.868,3.15,69.942,1985
17,,Argentina,2.9,71.868,2.63,73.275,3.053,70.774,1990
18,,Argentina,2.63,73.275,2.35,74.34,2.9,71.868,1995
19,,Argentina,2.35,74.34,,,2.63,73.275,2000
20,,Aruba,5.15,64.381,4.399,66.606,,,1955
21,,Aruba,4.399,66.606,3.301,68.336,5.15,64.381,1960
22,,Aruba,3.301,68.336,2.651,70.941,4.399,66.606,1965
23,,Aruba,2.651,70.941,2.45,71.83,3.301,68.336,1970
24,,Aruba,2.45,71.83,2.358,74.116,2.651,70.941,1975
25,,Aruba,2.358,74.116,2.3,74.494,2.45,71.83,1980
26,,Aruba,2.3,74.494,2.2800000000000002,74.108,2.358,74.116,1985
27,,Aruba,2.2800000000000002,74.108,2.208,73.011,2.3,74.494,1990
28,,Aruba,2.208,73.011,2.124,73.451,2.2800000000000002,74.108,1995
29,,Aruba,2.124,73.451,,,2.208,73.011,2000
30,,Australia,3.406,70.33,3.274,70.93,,,1955
31,,Australia,3.274,70.93,2.871,71.1,3.406,70.33,1960
32,,Australia,2.871,71.1,2.535,71.93,3.274,70.93,1965
33,,Australia,2.535,71.93,1.9889999999999999,73.49,2.871,71.1,1970
34,,Australia,1.9889999999999999,73.49,1.907,74.74,2.535,71.93,1975
35,,Australia,1.907,74.74,1.859,76.32,1.9889999999999999,73.49,1980
36,,Australia,1.859,76.32,1.8599999999999999,77.56,1.907,74.74,1985
37,,Australia,1.8599999999999999,77.56,1.776,78.83,1.859,76.32,1990
38,,Australia,1.776,78.83,1.756,80.37,1.8599999999999999,77.56,1995
39,,Australia,1.756,80.37,,,1.776,78.83,2000
40,,Austria,2.52,67.48,2.7800000000000002,69.54,,,1955
41,,Austria,2.7800000000000002,69.54,2.5300000000000002,70.14,2.52,67.48,1960
42,,Austria,2.5300000000000002,70.14,2.02,70.63,2.7800000000000002,69.54,1965
43,,Austria,2.02,70.63,1.6400000000000001,72.17,2.5300000000000002,70.14,1970
44,,Austria,1.6400000000000001,72.17,1.62,73.18,2.02,70.63,1975
45,,Austria,1.62,73.18,1.45,74.94,1.6400000000000001,72.17,1980
46,,Austria,1.45,74.94,1.47,76.04,1.62,73.18,1985
47,,Austria,1.47,76.04,1.388,77.51,1.45,74.94,1990
48,,Austria,1.388,77.51,1.3820000000000001,78.98,1.47,76.04,1995
49,,Austria,1.3820000000000001,78.98,,,1.388,77.51,2000
50,,Bahamas,4.305,62.405,4.503,64.209,,,1955
51,,Bahamas,4.503,64.209,3.794,65.795,4.305,62.405,1960
52,,Bahamas,3.794,65.795,3.444,66.515,4.503,64.209,1965
53,,Bahamas,3.444,66.515,3.221,67.199,3.794,65.795,1970
