Time,United States
2018-07-11T12,11
2018-07-11T13,8
2018-07-11T14,8
2018-07-11T15,12
2018-07-11T16,20
2018-07-11T17,30
2018-07-11T18,40
2018-07-11T19,47
2018-07-11T20,54
2018-07-11T21,60
2018-07-11T22,63
2018-07-11T23,61
2018-07-12T00,63
2018-07-12T01,68
2018-07-12T02,80
2018-07-12T03,91
2018-07-12T04,95
2018-07-12T05,92
2018-07-12T06,89
2018-07-12T07,80
2018-07-12T08,66
2018-07-12T09,51
2018-07-12T10,32
2018-07-12T11,19
2018-07-12T12,12
2018-07-12T13,9
2018-07-12T14,9
2018-07-12T15,13
2018-07-12T16,21
2018-07-12T17,31
2018-07-12T18,41
2018-07-12T19,47
2018-07-12T20,54
2018-07-12T21,59
2018-07-12T22,63
2018-07-12T23,68
2018-07-13T00,68
2018-07-13T01,74
2018-07-13T02,81
2018-07-13T03,92
2018-07-13T04,96
2018-07-13T05,96
2018-07-13T06,91
2018-07-13T07,81
2018-07-13T08,66
2018-07-13T09,52
2018-07-13T10,33
2018-07-13T11,20
2018-07-13T12,13
2018-07-13T13,9
2018-07-13T14,9
2018-07-13T15,14
2018-07-13T16,22
2018-07-13T17,34
2018-07-13T18,42
2018-07-13T19,50
2018-07-13T20,58
2018-07-13T21,62
2018-07-13T22,66
2018-07-13T23,70
2018-07-14T00,74
2018-07-14T01,76
2018-07-14T02,87
2018-07-14T03,93
2018-07-14T04,100
2018-07-14T05,97
2018-07-14T06,92
2018-07-14T07,85
2018-07-14T08,74
2018-07-14T09,56
2018-07-14T10,40
2018-07-14T11,25
2018-07-14T12,16
2018-07-14T13,11
2018-07-14T14,10
2018-07-14T15,14
2018-07-14T16,22
2018-07-14T17,32
2018-07-14T18,42
2018-07-14T19,50
2018-07-14T20,55
2018-07-14T21,62
2018-07-14T22,70
2018-07-14T23,71
2018-07-15T00,76
2018-07-15T01,81
2018-07-15T02,85
2018-07-15T03,90
2018-07-15T04,96
2018-07-15T05,94
2018-07-15T06,91
2018-07-15T07,84
2018-07-15T08,74
2018-07-15T09,57
2018-07-15T10,42
2018-07-15T11,27
2018-07-15T12,16
2018-07-15T13,11
2018-07-15T14,9
2018-07-15T15,11
2018-07-15T16,17
2018-07-15T17,26
2018-07-15T18,35
2018-07-15T19,41
2018-07-15T20,45
2018-07-15T21,49
2018-07-15T22,57
2018-07-15T23,66
2018-07-16T00,69
2018-07-16T01,72
2018-07-16T02,79
2018-07-16T03,89
2018-07-16T04,95
2018-07-16T05,100
2018-07-16T06,91
2018-07-16T07,82
2018-07-16T08,68
2018-07-16T09,50
2018-07-16T10,33
2018-07-16T11,20
2018-07-16T12,12
2018-07-16T13,8
2018-07-16T14,8
2018-07-16T15,13
2018-07-16T16,21
2018-07-16T17,32
2018-07-16T18,42
2018-07-16T19,49
2018-07-16T20,56
2018-07-16T21,62
2018-07-16T22,68
2018-07-16T23,70
2018-07-17T00,72
2018-07-17T01,80
2018-07-17T02,85
2018-07-17T03,93
2018-07-17T04,100
2018-07-17T05,97
2018-07-17T06,89
2018-07-17T07,83
2018-07-17T08,68
2018-07-17T09,49
2018-07-17T10,32
2018-07-17T11,19
2018-07-17T12,12
2018-07-17T13,9
2018-07-17T14,8
2018-07-17T15,14
2018-07-17T16,22
2018-07-17T17,33
2018-07-17T18,41
2018-07-17T19,48
2018-07-17T20,57
2018-07-17T21,62
2018-07-17T22,64
2018-07-17T23,66
2018-07-18T00,70
2018-07-18T01,75
2018-07-18T02,81
2018-07-18T03,92
2018-07-18T04,99
2018-07-18T05,96
2018-07-18T06,92
2018-07-18T07,79
2018-07-18T08,68
2018-07-18T09,49
2018-07-18T10,34
2018-07-18T11,20
