Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries)
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
Agfa ePhoto 1280,1997,1024,640,0,38,114,70,40,4,420
Agfa ePhoto 1680,1998,1280,640,1,38,114,50,0,4,420
Agfa ePhoto CL18,2000,640,0,0,45,45,0,0,2,0
Agfa ePhoto CL30,1999,1152,640,0,35,35,0,0,4,0
Agfa ePhoto CL30 Clik!,1999,1152,640,0,43,43,50,0,40,300
Agfa ePhoto CL45,2001,1600,640,1,51,51,50,20,8,270
Agfa ePhoto CL50,1999,1280,640,1,34,102,0,0,8,0
Canon PowerShot 350,1997,640,0,0,42,42,70,3,2,320
Canon PowerShot 600,1996,832,640,0,50,50,40,10,1,460
Canon PowerShot A10,2001,1280,1024,1,35,105,76,16,8,375
Canon PowerShot A100,2002,1280,1024,1,39,39,20,5,8,225
Canon PowerShot A20,2001,1600,1024,1,35,105,76,16,8,375
Canon PowerShot A200,2002,1600,1024,1,39,39,20,5,8,225
Canon PowerShot A30,2002,1280,1024,1,35,105,76,16,8,350
Canon PowerShot A300,2003,2048,1600,3,33,33,20,5,32,225
Canon PowerShot A310,2004,2048,1600,3,33,33,0,5,0,205
Canon PowerShot A40,2002,1600,1024,1,35,105,76,16,8,350
Canon PowerShot A400,2004,2048,1600,3,45,100,0,5,16,255
Canon PowerShot A410,2005,2048,1600,3,41,131,0,1,16,195
Canon PowerShot A420,2006,2272,1600,4,39,125,47,1,16,200
Canon PowerShot A430,2006,2272,1600,4,39,156,47,1,16,210
Canon PowerShot A450,2007,2592,2048,5,38,122,47,1,16,215
Canon PowerShot A460,2007,2592,2048,5,38,152,47,1,16,215
Canon PowerShot A5,1998,1024,512,0,35,35,50,9,8,240
Canon PowerShot A50,1999,1280,640,1,28,70,50,17,8,290
Canon PowerShot A510,2005,2048,1600,3,35,140,0,5,16,230
Canon PowerShot A520,2005,2272,1600,3,35,140,0,5,16,230
Canon PowerShot A530,2006,2592,2048,5,35,140,45,5,16,220
Canon PowerShot A540,2006,2816,2272,6,35,140,45,5,16,230
Canon PowerShot A550,2007,3072,2592,7,35,140,45,5,16,210
Canon PowerShot A560,2007,3072,2592,7,35,140,45,5,16,205
Canon PowerShot A570 IS,2007,3072,2592,7,35,140,45,5,16,215
Canon PowerShot A5 Zoom,1999,1024,512,0,28,70,50,17,8,290
Canon PowerShot A60,2003,1600,1024,1,35,105,46,5,16,315
Canon PowerShot A610,2005,2592,2592,5,35,140,0,1,16,285
Canon PowerShot A620,2005,3072,3072,7,35,140,0,1,32,285
Canon PowerShot A630,2006,3264,2592,8,35,140,0,1,16,315
Canon PowerShot A640,2006,3648,2816,10,35,140,0,1,32,315
Canon PowerShot A650 IS,2007,4000,3264,12,35,210,0,1,32,300
Canon PowerShot A70,2003,2048,1600,3,35,105,46,5,16,315
Canon PowerShot A700,2006,2816,2272,6,35,210,55,1,16,250
Canon PowerShot A710 IS,2006,3072,2592,7,35,210,55,1,16,210
Canon PowerShot A720 IS,2007,3264,2592,8,35,210,55,1,16,250
Canon PowerShot A75,2004,2048,1600,3,35,105,46,5,32,315
Canon PowerShot A80,2003,2272,1600,3,38,114,46,5,32,350
Canon PowerShot A85,2004,2272,1600,4,35,105,0,5,32,300
Canon PowerShot A95,2004,2592,2048,5,38,114,45,5,32,335
Canon EOS 10D,2003,3072,2048,6,0,0,0,0,0,875
Canon EOS-1D,2001,2464,1232,4,0,0,0,0,0,1585
Canon EOS-1D Mark II,2004,3504,3104,8,0,0,0,0,0,1565
Canon EOS-1D Mark III,2007,3888,3456,10,0,0,0,0,0,1335
Canon EOS-1D Mark II N,2005,3504,3104,8,0,0,0,0,0,1565
Canon EOS-1Ds,2002,4064,2032,11,0,0,0,0,0,1585
Canon EOS-1Ds Mark II,2004,4992,3600,16,0,0,0,0,0,1565
Canon EOS-1Ds Mark III,2007,5616,4992,21,0,0,0,0,0,1385
Canon EOS 20D,2004,3504,2544,8,0,0,0,0,0,770
Canon EOS 20Da,2005,3504,2544,8,0,0,0,0,0,770
Canon EOS 300D / Digital Rebel,2003,3072,2048,6,0,0,0,0,0,645
Canon EOS 30D,2006,3504,2544,8,0,0,0,0,0,784
Canon EOS 350D / Digital Rebel XT,2005,3456,2496,8,0,0,0,0,0,540
Canon EOS 400D / Digital Rebel XTi,2006,3888,2816,10,0,0,0,0,0,556
Canon EOS 40D,2007,3888,2816,10,0,0,0,0,0,822
Canon EOS 5D,2005,4368,3168,12,0,0,0,0,0,895
Canon EOS D30,2000,2160,1440,3,0,0,0,0,16,855
Canon EOS D60,2002,3072,2048,6,0,0,0,0,16,855
Canon PowerShot G1,2000,2048,1024,3,34,102,70,6,16,490
Canon PowerShot G2,2001,2272,1600,3,34,102,70,6,32,510
Canon PowerShot G3,2002,2272,1600,3,35,140,50,5,32,490
Canon PowerShot G5,2003,2592,1600,5,35,140,50,5,32,490
Canon PowerShot G6,2004,3072,2592,7,35,140,50,5,32,467
Canon PowerShot G7,2006,3648,2816,10,35,210,50,1,32,380
Canon PowerShot G9,2007,4000,3264,12,35,210,50,1,32,370
Canon PowerShot Pro1,2004,3264,2272,8,28,200,50,3,64,640
Canon PowerShot Pro70,1998,1536,768,1,28,70,32,12,8,800
Canon PowerShot Pro90 IS,2001,1856,1024,2,37,370,10,10,16,680
Canon PowerShot S10,1999,1600,1280,1,35,70,46,12,8,320
Canon PowerShot S100,2000,1600,640,1,35,70,57,10,8,250
Canon PowerShot S110,2001,1600,1024,1,35,70,57,10,8,250
Canon PowerShot S1 IS,2004,2048,1600,3,38,380,10,10,32,469
Canon PowerShot S20,2000,2048,1024,3,32,64,66,12,16,320
Canon PowerShot S200,2002,1600,1024,1,35,70,57,10,8,250
Canon PowerShot S230,2002,2048,1600,3,35,70,47,10,16,250
Canon PowerShot S2 IS,2005,2592,2048,5,36,432,50,10,16,505
Canon PowerShot S30,2001,2048,1600,3,35,105,80,10,16,323
Canon PowerShot S300,2001,1600,1024,1,35,105,76,16,8,270
Canon PowerShot S330,2002,1600,1024,1,35,105,76,16,8,274
Canon PowerShot S3 IS,2006,2816,2272,6,36,432,50,10,16,510
Canon PowerShot S40,2001,2272,1600,3,35,105,80,10,16,323
Canon PowerShot S400,2003,2272,1600,3,36,108,46,5,32,230
Canon PowerShot S410,2004,2272,1600,3,36,108,0,5,32,215
Canon PowerShot S45,2002,2272,1600,3,35,105,50,10,32,323
Canon PowerShot S50,2003,2592,1600,5,35,105,50,10,32,323
Canon PowerShot S500,2004,2592,2048,5,36,108,0,5,32,215
Canon PowerShot S5 IS,2007,3264,2272,8,36,432,50,10,32,550
Canon PowerShot S60,2004,2592,1600,5,28,100,50,4,32,300
Canon PowerShot S70,2004,3072,2592,7,28,100,50,4,32,300
Canon PowerShot S80,2005,3264,2592,8,28,100,50,4,32,290
Canon PowerShot SD10,2003,2272,1600,3,38,38,0,3,32,140
Canon PowerShot SD100,2003,2048,1600,3,35,70,47,10,16,185
Canon PowerShot SD1000,2007,3072,2592,7,35,105,0,5,32,175
Canon PowerShot SD110,2004,2048,1600,3,35,70,0,10,16,195
Canon PowerShot SD20,2004,2592,2048,5,39,39,0,3,32,140
Canon PowerShot SD200,2004,2048,1600,3,35,105,0,3,16,135
Canon PowerShot SD30,2005,2592,2048,5,38,90,0,10,16,120
Canon PowerShot SD300,2004,2272,1600,3,35,105,0,3,16,147
Canon PowerShot SD40,2006,3072,2592,7,38,90,0,10,16,120
Canon PowerShot SD400,2005,2592,2048,5,35,105,0,3,16,150
Canon PowerShot SD430 Wireless,2005,2592,2048,5,35,105,0,3,16,185
Canon PowerShot SD450,2005,2592,2048,5,35,105,0,3,16,155
Canon PowerShot SD500,2005,3072,2592,7,37,111,0,5,32,200
Canon PowerShot SD550,2005,3072,2592,7,37,111,0,5,32,185
Canon PowerShot SD600,2006,2816,2272,6,35,105,30,3,16,170
Canon PowerShot SD630,2006,2816,2272,6,35,105,30,3,16,175
Canon PowerShot SD700 IS,2006,2816,2272,6,35,140,45,2,16,195
Canon PowerShot SD750,2007,3072,2592,7,35,105,0,5,32,170
Canon PowerShot SD800 IS,2006,3072,2592,7,28,105,0,3,16,195
Canon PowerShot SD850 IS,2007,3264,2272,8,35,140,45,2,32,195
Canon PowerShot SD870 IS,2007,3264,2592,8,28,105,45,2,32,165
Canon PowerShot SD900,2006,3648,2816,10,37,111,0,5,32,205
Canon PowerShot SD950 IS,2007,4000,3264,12,36,133,50,5,32,205
Canon PowerShot SX100 IS,2007,3264,2592,8,36,360,50,1,32,316
Canon PowerShot TX1,2007,3072,2592,7,39,390,50,10,0,260
Casio Exilim EX-P505,2005,2560,2048,4,38,190,40,1,7,275
Casio Exilim EX-P600,2004,2816,2048,5,33,132,40,10,9,275
Casio Exilim EX-P700,2004,3072,2304,7,33,132,40,10,9,275
Casio Exilim EX-S100,2004,2048,1600,3,36,102,40,17,9,123
Casio Exilim EX-S20,2003,1600,1280,1,35,35,80,30,10,100
Casio Exilim EX-S3,2003,2048,1600,3,35,35,80,80,10,110
Casio Exilim EX-S500,2005,2560,2304,4,38,114,40,17,8,125
Casio Exilim EX-S600,2005,2816,2304,6,38,114,40,15,8,155
Casio Exilim EX-S600d,2006,2816,2304,6,38,114,40,15,8,155
Casio Exilim EX-S880,2007,3264,2816,8,38,114,50,15,10,138
Casio Exilim EX-V7,2007,3072,2560,7,38,266,30,10,11,190
Casio Exilim EX-V8,2007,3264,2816,8,38,266,40,10,11,199
Casio Exilim EX-Z10,2005,2560,2304,5,35,114,40,6,8,154
Casio Exilim EX-Z1000,2006,3648,2560,10,38,114,40,6,8,185
Casio Exilim EX-Z1050,2007,3648,2560,10,38,114,40,10,15,165
Casio Exilim EX-Z1080,2007,3648,2560,10,38,114,40,10,11,165
Casio Exilim EX-Z110,2005,2816,2304,6,35,114,40,6,8,151
Casio Exilim EX-Z120,2005,3072,2560,7,38,114,50,10,8,154
Casio Exilim EX-Z1200 SR,2007,4000,3264,12,37,111,40,6,11,162
Casio Exilim EX-Z3,2003,2048,1600,3,35,105,40,6,16,170
Casio Exilim EX-Z30,2004,2048,1600,3,35,105,40,6,9,150
Casio Exilim EX-Z4,2003,2304,1600,4,35,105,40,6,16,170
Casio Exilim EX-Z40,2004,2304,1600,4,35,105,40,6,9,150
Casio Exilim EX-Z5,2006,2560,2304,4,38,114,40,10,8,160
Casio Exilim EX-Z50,2004,2560,2048,5,35,105,50,6,9,171
