year,plant_id,plant_name_gen,operator_name_gen,operator_id_gen,net_generation_mwh,plant_name_cap,operator_name_cap,operator_id_cap,capacity_mwh,capacity_utilization
2001,50573,CID Gas Recovery,WM Illinois Renewable Energy LLC,54843,39158.001,CID Gas Recovery,Bio-Energy Partners,1687,50808,0.770705420406
2001,50572,CSL Gas Recovery,WM Renewable Energy LLC,54842,69691,CSL Gas Recovery,Bio-Energy Partners,1687,95484,0.729870973147
2001,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,38814,Altamont Gas Recovery,Bio-Energy Partners,1687,50808,0.763934813415
2001,50570,Chestnut Ridge Gas Recovery,WM Renewable Energy LLC,54842,23660.002,Chestnut Ridge Gas Recovery,Bio-Energy Partners,1687,28032,0.844035459475
2001,50569,DFW Gas Recovery,WM Renewable Energy LLC,54842,34246,DFW Gas Recovery,Bio-Energy Partners,1687,50808,0.674027712171
2002,6505,Oak Grove,Portland General Electric Co,15248,223339,Oak Grove,Portland General Electric Co,15248,385440,0.579439082607
2002,6504,Maalaea,Maui Electric Co Ltd,11843,1686200,Maalaea,Maui Electric Co Ltd,11843,1660020,1.01577089433
2002,6486,Mill C,New York State Elec & Gas Corp,13511,12884,Mill C,New York State Electric  & Gas,13511,52560,0.245129375951
2002,6484,Bend,PacifiCorp,14354,3440,Bend,PacifiCorp,14354,8760,0.392694063927
2003,1154,Lake Mills,City of Lake Mills,10606,765,Lake Mills,Lake Mills City of,10606,160308,0.00477206377723
2003,1155,Lamoni Municipal Utilities,City of Lamoni,10650,577.001,Lamoni Municipal Utilities,Lamoni Municipal Utilities,10650,46515.6,0.0124044621589
2003,1156,La Porte,La Porte City Utilities,10542,611,La Porte,La Porte City City of,10542,46428,0.0131601619712
2003,1157,Laurens,City of Laurens,10769,89.999,Laurens,Laurens City of,10769,12264,0.00733847031963
2004,54470,Eagle & Phenix,Matthew D. Swift WC Bradley Co.,50025,136.62,Eagle & Phenix,Matthew D. Swift WC Bradley Co.,50025,34952.4,0.0039087444639
2004,54517,Sierra Pacific Sonora,Sierra Pacific Industries Inc,17164,39287.911,Sierra Pacific Sonora,Sierra Pacific Industries Inc,17164,56940,0.689987899543
2004,54469,Pacific Oroville Power Inc,Pacific Oroville Power Co,22048,133303.001,Pacific Oroville Power Inc,Pacific Oroville Power Co,22048,144540,0.922256821641
2004,54470,Eagle & Phenix,Matthew D. Swift WC Bradley Co.,50025,136.62,Eagle & Phenix,Matthew D. Swift WC Bradley Co.,50025,34952.4,0.0039087444639
2005,55222,Lincoln Generating Facility,Lincoln Generating Facility LLC,50094,59321,Lincoln Generating Facility,Lincoln Generating Facility LLC,50094,5521428,0.0107437786022
2005,55223,Ennis Power Company LLC,Ennis Power Company LLC,5761,1392739,Ennis Tractebel Power LP,Ennis Tractebel Power Co LP,5761,3149220,0.442248874324
2005,55224,Wheatland Generating Facility,Duke Energy Indiana Inc,15470,14016,Wheatland Generating Facility,Cincinnati Gas & Electric Co,3542,4134720,0.00338983050847
2005,55225,Oneta Energy Center,Calpine Central L P,2897,651431,Oneta Energy Center,Calpine Central L P,2897,9479196,0.0687221785476
2005,55236,Lee Energy Facility,Duke Energy Ohio Inc,3542,96193,Lee Energy Facility,Duke Energy Lee LLC,5440,5461860,0.0176117659552
2005,55237,Energy Shelby County,RRI Energy Wholesale Generation  LLC,54885,80997,Energy Shelby County,Reliant Energy Power Gen Inc,29945,3255216,0.0248822197974
2005,55238,NRG Rockford I,Indeck Operations  Inc,9262,28751.28,NRG Rockford I,Indeck Operations  Inc,9262,2575440,0.011163638058
2005,55239,AES Red Oak LLC,AES Red Oak LLC,22131,1471723,AES Red Oak LLC,AES Red Oak LLC,22131,6710072.4,0.219330420339
2005,55241,Hog Bayou Energy Center,Mobile Energy LLC,12739,20103,Hog Bayou Energy Center,Mobile Energy LLC,12739,2014800,0.00997766527695
