,Date,Max.TemperatureC,Min.TemperatureC,Max.Gust.SpeedKPH,Events,Season
1,1996-06-30,,,,,Summer
2,1996-07-01,19,11,28,Rain,Summer
3,1996-07-02,20,10,,,Summer
4,1996-07-03,19,12,,Rain,Summer
5,1996-07-04,19,12,25,Rain,Summer
6,1996-07-05,,11,,Rain,Summer
7,1996-07-06,19,11,,Rain,Summer
8,1996-07-07,19,11,,Rain,Summer
9,1996-07-08,20,11,,,Summer
10,1996-07-09,21,12,,Rain,Summer
11,1996-07-10,26,13,,,Summer
12,1996-07-11,24,15,,,Summer
13,1996-07-12,23,15,,Rain,Summer
14,1996-07-13,25,16,21,,Summer
15,1996-07-14,25,17,,,Summer
16,1996-07-15,25,13,,,Summer
17,1996-07-16,22,11,,,Summer
18,1996-07-17,25,10,,,Summer
19,1996-07-18,27,11,,,Summer
20,1996-07-19,26,13,,,Summer
21,1996-07-20,29,13,,,Summer
22,1996-07-21,30,15,,,Summer
23,1996-07-22,31,17,25,,Summer
24,1996-07-23,28,18,,Rain-Thunderstorm,Summer
25,1996-07-24,22,14,,Rain,Summer
26,1996-07-25,25,12,,,Summer
27,1996-07-26,28,15,,,Summer
28,1996-07-27,23,16,,Rain,Summer
29,1996-07-28,23,16,,Rain,Summer
30,1996-07-29,25,17,,Rain,Summer
31,1996-07-30,24,16,,Rain,Summer
32,1996-07-31,26,16,,Rain,Summer
33,1996-08-01,23,13,,Rain,Summer
34,1996-08-02,21,11,,,Summer
35,1996-08-03,24,13,,,Summer
36,1996-08-04,25,13,,,Summer
37,1996-08-05,27,15,29,,Summer
38,1996-08-06,21,15,30,Rain,Summer
39,1996-08-07,22,14,,,Summer
40,1996-08-08,23,12,,,Summer
41,1996-08-09,21,15,24,Rain,Summer
42,1996-08-10,23,16,25,Rain,Summer
43,1996-08-11,22,15,,Rain-Thunderstorm,Summer
44,1996-08-12,20,14,,Rain,Summer
45,1996-08-13,32,14,,,Summer
46,1996-08-14,21,16,,,Summer
47,1996-08-15,21,15,,,Summer
48,1996-08-16,27,15,,,Summer
49,1996-08-17,28,14,,Fog,Summer
50,1996-08-18,30,16,,,Summer
51,1996-08-19,31,17,,,Summer
52,1996-08-20,24,17,,Rain,Summer
53,1996-08-21,25,13,23,,Summer
54,1996-08-22,23,13,,Rain,Summer
55,1996-08-23,22,15,,Rain,Summer
56,1996-08-24,21,14,25,Rain,Summer
57,1996-08-25,20,14,21,Rain,Summer
58,1996-08-26,21,12,,Rain,Summer
59,1996-08-27,21,11,,Fog-Thunderstorm,Summer
60,1996-08-28,21,11,,Fog,Summer
61,1996-08-29,18,13,28,Rain,Summer
62,1996-08-30,18,12,,,Summer
63,1996-08-31,19,9,,,Summer
64,1996-09-01,21,10,,,Summer
65,1996-09-02,22,15,,Rain,Summer
66,1996-09-03,21,15,,Rain,Summer
67,1996-09-04,19,15,,Rain,Summer
68,1996-09-05,23,14,,,Summer
