Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
1,2010-06-04,18:45:00,F9 v1.0  B0003,CCAFS LC-40,,LEO,SpaceX,Success,Failure   (parachute)
2,2010-12-08,15:43:00,F9 v1.0  B0004,CCAFS LC-40,,LEO (ISS),NASA (COTS) NRO,Success,Failure   (parachute)
3,2012-05-22,7:44:00,F9 v1.0  B0005,CCAFS LC-40,525,LEO (ISS),NASA (COTS),Success,
4,2012-10-08,0:35:00,F9 v1.0  B0006,CCAFS LC-40,500,LEO (ISS),NASA (CRS),Success,No attempt
5,2013-03-01,15:10:00,F9 v1.0  B0007,CCAFS LC-40,677,LEO (ISS),,Success,No attempt
6,,16:00:00,F9 v1.1  B1003,VAFB SLC-4E,500,Polar LEO,MDA,Success,Uncontrolled (ocean)
7,2013-12-03,22:41:00,F9 v1.1,CCAFS LC-40,3170,GTO,SES,Success,No attempt
8,2014-01-06,22:06:00,F9 v1.1,CCAFS LC-40,3325,GTO,Thaicom,Success,
9,2014-04-18,19:25:00,F9 v1.1,CCAFS LC-40,2296,LEO (ISS),NASA (CRS),Success,Controlled (ocean)
10,2014-07-14,15:15:00,F9 v1.1,CCAFS LC-40,1316,LEO,Orbcomm,Success,Controlled (ocean)
11,2014-08-05,8:00:00,F9 v1.1,CCAFS LC-40,4535,GTO,AsiaSat,Success,No attempt
12,2014-09-07,5:00:00,F9 v1.1 B1011,CCAFS LC-40,4428,GTO,AsiaSat,Success,No attempt
13,2014-09-21,5:52:00,F9 v1.1 B1010,CCAFS LC-40,2216,LEO (ISS),NASA (CRS),Success,Uncontrolled (ocean)
14,2015-01-10,9:47:00,F9 v1.1 B1012,CCAFS LC-40,2395,LEO (ISS),,Success,Failure  (drone ship)
15,2015-02-11,23:03:00,F9 v1.1 B1013,CCAFS LC-40,570,Sun–Earth L1,U.S. Air Force NASA NOAA,Success,
16,,3:50:00,F9 v1.1 B1014,CCAFS LC-40,4159,GTO,ABS Eutelsat,Success,No attempt
,2015-04-14,20:10:00,F9 v1.1 B1015,CCAFS LC-40,1898,LEO (ISS),NASA (CRS),Success,Failure  (drone ship)
18,2015-04-27,23:03:00,F9 v1.1 B1016,CCAFS LC-40,4707,GTO,Turkmenistan National Space Agency,Success,No attempt
19,2015-06-28,14:21:00,F9 v1.1 B1018,CCAFS LC-40,1952,LEO (ISS),NASA (CRS),Failure ,Precluded  (drone ship)
20,2015-12-22,1:29:00,F9 FT B1019,CCAFS LC-40,2034,LEO,Orbcomm,Success,Success  (ground pad)
21,2016-01-17,18:42:00,F9 v1.1 B1017,VAFB SLC-4E,553,LEO,NASA (LSP) NOAA CNES,Success,Failure (drone ship)
22,2016-03-04,23:35:00,F9 FT B1020,CCAFS LC-40,5271,GTO,SES,Success,Failure (drone ship)
